ctx_id,rows,tau_near_miss_mean,tau_near_miss_min,tau_near_miss_max,tau_near_miss_nunique,tau_violation_mean,tau_violation_min,tau_violation_max,tau_violation_nunique,ctx_tuple
0,60,185.0852427701332,185.08524277013316,185.08524277013316,1,46.715714796575725,46.715714796575725,46.715714796575725,1,"('low', 'calm', 'clean')"
1,60,178.64491802026754,178.64491802026754,178.64491802026754,1,43.38181543126619,43.38181543126619,43.38181543126619,1,"('low', 'calm', 'noisy')"
2,60,201.5998367620101,201.5998367620101,201.5998367620101,1,41.47758964134989,41.47758964134989,41.47758964134989,1,"('low', 'calm', 'dropout')"
4,120,134.54547673384346,134.54547673384346,134.54547673384346,1,40.96852408409119,40.96852408409119,40.96852408409119,1,"('low', 'normal', 'noisy')"
6,180,140.7871770000458,140.7871770000458,140.7871770000458,1,52.95311737060547,52.95311737060547,52.95311737060547,1,"('low', 'aggr', 'clean')"
8,80,177.1007171471913,177.1007171471913,177.1007171471913,1,46.37242825826009,46.37242825826009,46.37242825826009,1,"('low', 'aggr', 'dropout')"
9,60,212.6447984600068,212.6447984600068,212.6447984600068,1,48.01830482482909,48.01830482482909,48.01830482482909,1,"('med', 'calm', 'clean')"
10,180,174.26422472000118,174.26422472000118,174.26422472000118,1,37.873133468627934,37.873133468627934,37.873133468627934,1,"('med', 'calm', 'noisy')"
11,300,200.8635066693853,200.8635066693853,200.8635066693853,1,41.04154236942883,41.04154236942883,41.04154236942883,1,"('med', 'calm', 'dropout')"
12,120,88.58502848148342,88.58502848148342,88.58502848148342,1,32.07932141304016,32.07932141304016,32.07932141304016,1,"('med', 'normal', 'clean')"
13,60,161.4737976598739,161.4737976598739,161.4737976598739,1,36.891341060002645,36.891341060002645,36.891341060002645,1,"('med', 'normal', 'noisy')"
14,120,221.5721397781371,221.5721397781371,221.5721397781371,1,40.72156829833985,40.72156829833985,40.72156829833985,1,"('med', 'normal', 'dropout')"
16,240,168.942834663391,168.942834663391,168.942834663391,1,45.442599105834965,45.442599105834965,45.442599105834965,1,"('med', 'aggr', 'noisy')"
18,120,172.0347023778607,172.0347023778607,172.0347023778607,1,41.49726450257312,41.49726450257312,41.49726450257312,1,"('high', 'calm', 'clean')"
22,120,161.47379765987392,161.47379765987392,161.47379765987392,1,36.891341060002645,36.891341060002645,36.891341060002645,1,"('high', 'normal', 'noisy')"
26,120,184.36342299780864,184.36342299780864,184.36342299780864,1,45.05629083063224,45.05629083063224,45.05629083063224,1,"('high', 'aggr', 'dropout')"
