rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,time/episodes,time/total_timesteps
6.788136,1,40,60.0,1,60
4.3540225,1,79,60.0,2,120
3.857179,2,87,60.0,3,180
4.80399525,2,94,60.0,4,240
3.8431962,2,101,60.0,5,300
4.162980999999999,3,119,60.0,6,360
3.5682694285714285,3,137,60.0,7,420
4.6880556250000005,3,156,60.0,8,480
6.414086222222222,3,176,60.0,9,540
6.1558522,3,194,60.0,10,600
5.769966636363637,3,212,60.0,11,660
5.77432125,3,219,60.0,12,720
5.844672615384615,3,226,60.0,13,780
5.632184642857142,3,233,60.0,14,840
5.4478168,3,240,60.0,15,900
6.244192312499999,3,246,60.0,16,960
6.327482235294117,4,253,60.0,17,1020
6.350642222222222,4,260,60.0,18,1080
6.218068736842104,4,268,60.0,19,1140
6.4352734499999995,4,275,60.0,20,1200
7.001849095238095,4,283,60.0,21,1260
6.857638909090909,4,289,60.0,22,1320
6.726216391304348,4,296,60.0,23,1380
6.606299541666666,4,303,60.0,24,1440
6.34204756,4,310,60.0,25,1500
6.355631807692307,4,317,60.0,26,1560
6.368521777777778,4,362,60.0,27,1620
6.243682285714286,4,404,60.0,28,1680
6.391220137931034,3,448,60.0,29,1740
6.403343899999999,3,497,60.0,30,1800
6.382242677419354,3,544,60.0,31,1860
6.2720833124999995,3,595,60.0,32,1920
6.314594606060606,3,649,60.0,33,1980
6.663325029411764,2,698,60.0,34,2040
6.801107571428571,2,750,60.0,35,2100
6.798431305555555,2,797,60.0,36,2160
6.770261189189188,2,842,60.0,37,2220
6.744608052631579,2,889,60.0,38,2280
6.7924249743589735,2,934,60.0,39,2340
6.815630225000001,2,983,60.0,40,2400
6.905700902439026,2,1032,60.0,41,2460
6.923214452380954,2,1080,60.0,42,2520
7.075047534883723,2,1125,60.0,43,2580
6.97954681818182,2,1173,60.0,44,2640
7.017639800000002,2,1218,60.0,45,2700
6.989996152173916,2,1263,60.0,46,2760
6.902400829787237,2,1311,60.0,47,2820
6.9180584791666675,2,1359,60.0,48,2880
6.87463842857143,2,1387,60.0,49,2940
6.794542480000001,2,1406,60.0,50,3000
6.868412333333335,2,1426,60.0,51,3060
6.903055192307694,2,1446,60.0,52,3120
7.044267396226417,2,1465,60.0,53,3180
7.144094314814816,2,1484,60.0,54,3240
7.258357527272728,2,1503,60.0,55,3300
7.231068267857142,2,1523,60.0,56,3360
7.221667736842106,2,1543,60.0,57,3420
7.262440034482759,2,1562,60.0,58,3480
7.301575440677967,2,1581,60.0,59,3540
7.373189366666667,2,1600,60.0,60,3600
7.3149683442622955,2,1622,60.0,61,3660
7.196984983870968,2,1642,60.0,62,3720
7.310562698412698,2,1661,60.0,63,3780
7.31573,2,1680,60.0,64,3840
7.233079507692308,2,1699,60.0,65,3900
7.196193424242424,2,1718,60.0,66,3960
7.131668388059702,2,1739,60.0,67,4020
7.139527955882353,2,1757,60.0,68,4080
7.077837144927536,2,1777,60.0,69,4140
7.113505228571429,2,1797,60.0,70,4200
7.09458595774648,2,1815,60.0,71,4260
7.009277555555556,2,1834,60.0,72,4320
7.031709712328769,2,1853,60.0,73,4380
7.169805445945948,2,1896,60.0,74,4440
7.201954066666668,2,1943,60.0,75,4500
7.132254171052634,2,1990,60.0,76,4560
7.115117077922079,2,2034,60.0,77,4620
7.072939397435898,2,2077,60.0,78,4680
7.104726582278482,2,2121,60.0,79,4740
7.0877429,2,2164,60.0,80,4800
7.059426728395062,2,2207,60.0,81,4860
7.113861268292683,2,2253,60.0,82,4920
7.1088176144578314,2,2299,60.0,83,4980
